"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2025","23,713.76","23,692.13","23,733.50","23,637.41","277.41M","0.01%"
"08/15/2025","23,712.07","23,809.00","23,813.99","23,651.21","398.33M","-0.51%"
"08/14/2025","23,832.44","23,775.01","23,908.26","23,748.98","335.62M","-0.07%"
"08/13/2025","23,849.04","23,935.06","23,969.28","23,789.12","348.16M","0.04%"
"08/12/2025","23,839.20","23,651.61","23,849.50","23,524.28","339.69M","1.33%"
"08/11/2025","23,526.63","23,629.02","23,698.00","23,484.25","353.40M","-0.36%"
"08/08/2025","23,611.27","23,458.13","23,619.24","23,437.61","348.49M","0.95%"
"08/07/2025","23,389.53","23,483.42","23,560.73","23,225.72","375.75M","0.32%"
"08/06/2025","23,315.04","23,070.95","23,330.49","23,042.27","357.84M","1.29%"
"08/05/2025","23,018.56","23,235.31","23,286.05","23,008.14","337.03M","-0.73%"
"08/04/2025","23,188.61","22,986.77","23,191.04","22,973.60","353.56M","1.87%"
"08/01/2025","22,763.31","22,941.06","22,972.47","22,673.88","422.04M","-1.96%"
"07/31/2025","23,218.12","23,589.37","23,589.37","23,176.12","490.86M","-0.55%"
"07/30/2025","23,345.41","23,337.33","23,447.15","23,226.92","355.13M","0.16%"
"07/29/2025","23,308.30","23,477.84","23,510.92","23,283.40","345.62M","-0.21%"
"07/28/2025","23,356.27","23,343.13","23,386.76","23,299.81","293.93M","0.36%"
"07/25/2025","23,272.25","23,204.66","23,326.30","23,193.99","324.94M","0.23%"
"07/24/2025","23,219.87","23,228.79","23,268.49","23,150.27","348.24M","0.25%"
"07/23/2025","23,162.41","23,100.25","23,168.49","23,000.46","332.21M","0.43%"
"07/22/2025","23,063.58","23,182.02","23,186.36","22,953.85","309.16M","-0.50%"
"07/21/2025","23,180.06","23,124.97","23,264.45","23,122.93","266.40M","0.50%"
"07/18/2025","23,065.47","23,135.09","23,153.21","23,018.36","343.25M","-0.07%"
"07/17/2025","23,081.05","22,931.02","23,104.72","22,905.51","363.47M","0.76%"
"07/16/2025","22,907.97","22,895.30","22,928.55","22,669.37","346.48M","0.10%"
"07/15/2025","22,884.59","23,036.86","23,051.87","22,876.47","342.19M","0.13%"
"07/14/2025","22,855.63","22,780.19","22,886.94","22,675.28","305.71M","0.33%"
"07/11/2025","22,780.60","22,757.99","22,837.38","22,692.80","312.17M","-0.21%"
"07/10/2025","22,829.26","22,890.43","22,907.04","22,716.41","308.86M","-0.16%"
"07/09/2025","22,864.91","22,800.36","22,915.33","22,733.65","311.04M","0.72%"
"07/08/2025","22,702.25","22,735.26","22,761.80","22,652.44","346.75M","0.07%"
"07/07/2025","22,685.57","22,754.38","22,776.21","22,587.47","327.00M","-0.79%"
"07/03/2025","22,866.97","22,751.64","22,896.01","22,736.08","225.78M","0.99%"
"07/02/2025","22,641.89","22,451.81","22,644.72","22,448.07","346.49M","0.73%"
"07/01/2025","22,478.13","22,594.48","22,631.26","22,388.09","385.56M","-0.89%"
"06/30/2025","22,679.01","22,632.92","22,721.50","22,565.11","410.27M","0.64%"
"06/27/2025","22,534.20","22,484.87","22,603.22","22,382.79","643.79M","0.39%"
"06/26/2025","22,447.29","22,328.24","22,466.99","22,255.27","343.21M","0.94%"
"06/25/2025","22,237.74","22,279.69","22,329.23","22,175.08","344.08M","0.21%"
"06/24/2025","22,190.52","22,053.33","22,220.64","22,045.63","404.98M","1.53%"
"06/23/2025","21,856.33","21,632.78","21,871.87","21,532.32","373.66M","1.06%"
"06/20/2025","21,626.39","21,834.49","21,902.98","21,552.80","836.91M","-0.43%"
"06/18/2025","21,719.69","21,745.50","21,863.00","21,660.52","331.25M","0.00%"
"06/17/2025","21,719.08","21,858.89","21,896.42","21,680.18","305.16M","-1.00%"
"06/16/2025","21,937.57","21,783.08","21,979.77","21,783.08","340.31M","1.42%"
"06/13/2025","21,631.04","21,675.94","21,838.47","21,591.11","317.46M","-1.29%"
"06/12/2025","21,913.32","21,826.79","21,952.00","21,807.00","269.00M","0.24%"
"06/11/2025","21,860.80","21,994.16","22,041.83","21,775.27","314.42M","-0.37%"
"06/10/2025","21,941.92","21,819.79","21,961.42","21,727.34","345.37M","0.66%"
"06/09/2025","21,797.87","21,779.18","21,855.15","21,729.30","360.44M","0.17%"
"06/06/2025","21,761.79","21,777.50","21,836.57","21,696.69","308.79M","0.99%"
"06/05/2025","21,547.43","21,782.34","21,891.89","21,472.77","410.26M","-0.80%"
"06/04/2025","21,721.92","21,689.02","21,761.37","21,607.33","293.97M","0.27%"
